Date,Open,High,Low,Close,Adj Close,Volume
4/8/17,238.580002,239.729996,236.380005,237.710007,225.321365,5590500
7/8/17,237.600006,241.429993,237.210007,240.229996,227.710037,3674700
8/8/17,239.910004,240.520004,238.929993,239.5,227.018097,4871500
9/8/17,238.009995,238.699997,234.100006,234.309998,223.423248,5680400
10/8/17,234.029999,236.160004,231.910004,232.880005,222.059692,6817700
11/8/17,232.759995,235.399994,230.940002,234.880005,223.966751,3461700
14/8/17,236.009995,237.479996,235.720001,237.149994,226.131287,2953500
15/8/17,237.210007,239.639999,236.009995,239.169998,228.057434,2851100
16/8/17,239.699997,240.259995,237.410004,237.589996,226.550827,3012700
17/8/17,237.380005,237.600006,235.25,235.589996,224.643753,2810900
18/8/17,235,237.259995,234.570007,235.770004,224.815414,2939500
21/8/17,235.770004,236.940002,234.350006,235.679993,224.729614,2545400
22/8/17,236.160004,239.889999,236.110001,239.75,228.610458,2915700
23/8/17,239.360001,239.360001,237.190002,238.089996,227.027588,2518300
24/8/17,238.520004,238.899994,236.600006,238.740005,227.6474,2553100
25/8/17,239,239.089996,235.600006,235.889999,224.92984,2270300
28/8/17,236.220001,237.550003,234.610001,237.179993,226.159866,2395000
29/8/17,237.210007,241.169998,236.080002,240.490005,229.316101,3535500
30/8/17,240.990005,241.440002,239,240.460007,229.287506,2801100
31/8/17,241,241.100006,238.410004,239.660004,228.524689,3075800
1/9/17,239.660004,242.529999,239.169998,240.330002,229.163528,3270700
5/9/17,240.300003,240.360001,236.229996,237,225.988251,3866600
6/9/17,237.529999,237.860001,234.339996,234.619995,223.718857,4252700
7/9/17,234.75,236.539993,234.289993,236.309998,225.330307,2994500
8/9/17,235.75,239.389999,235.210007,238.779999,227.685516,3404200
11/9/17,239.5,241.850006,239.309998,240.589996,229.411423,3628100
12/9/17,240.589996,241.710007,238.949997,240.580002,229.401932,2702700
13/9/17,240,243.479996,237.089996,241.929993,230.689194,4529100
14/9/17,243,245.610001,242.5,245.229996,233.835876,4995200
15/9/17,247.360001,249.949997,246.210007,249,237.43071,9033300
18/9/17,249.970001,253.789993,248.910004,253.080002,241.321136,5193000
19/9/17,253.080002,255.169998,251.630005,252.460007,240.729919,4124700
